"LOCATION","Country","SUBJECT","Subject","MEASURE","Measure","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","LFEAMNTT","Employment - by economic activity, Manufacturing, All persons","STSA","Level, rate or quantity series, s.a.","A","Annual","1993","1993","PER","Persons","3","Thousands",,,1033.051,,
"AUS","Australia","LFEAMNTT","Employment - by economic activity, Manufacturing, All persons","STSA","Level, rate or quantity series, s.a.","A","Annual","1994","1994","PER","Persons","3","Thousands",,,1065.797,,
"AUS","Australia","LFEAMNTT","Employment - by economic activity, Manufacturing, All persons","STSA","Level, rate or quantity series, s.a.","A","Annual","1995","1995","PER","Persons","3","Thousands",,,1071.422,,
"AUS","Australia","LFEAMNTT","Employment - by economic activity, Manufacturing, All persons","STSA","Level, rate or quantity series, s.a.","A","Annual","1996","1996","PER","Persons","3","Thousands",,,1067.426,,
"AUS","Australia","LFEAMNTT","Employment - by economic activity, Manufacturing, All persons","STSA","Level, rate or quantity series, s.a.","A","Annual","1997","1997","PER","Persons","3","Thousands",,,1083.515,,
"AUS","Australia","LFEAMNTT","Employment - by economic activity, Manufacturing, All persons","STSA","Level, rate or quantity series, s.a.","A","Annual","1998","1998","PER","Persons","3","Thousands",,,1044.962,,
"AUS","Australia","LFEAMNTT","Employment - by economic activity, Manufacturing, All persons","STSA","Level, rate or quantity series, s.a.","A","Annual","1999","1999","PER","Persons","3","Thousands",,,1019.488,,
"AUS","Australia","LFEAMNTT","Employment - by economic activity, Manufacturing, All persons","STSA","Level, rate or quantity series, s.a.","A","Annual","2000","2000","PER","Persons","3","Thousands",,,1071.006,,
"AUS","Australia","LFEAMNTT","Employment - by economic activity, Manufacturing, All persons","STSA","Level, rate or quantity series, s.a.","A","Annual","2001","2001","PER","Persons","3","Thousands",,,1041.283,,
"AUS","Australia","LFEAMNTT","Employment - by economic activity, Manufacturing, All persons","STSA","Level, rate or quantity series, s.a.","A","Annual","2002","2002","PER","Persons","3","Thousands",,,1056.082,,
"AUS","Australia","LFEAMNTT","Employment - by economic activity, Manufacturing, All persons","STSA","Level, rate or quantity series, s.a.","A","Annual","2003","2003","PER","Persons","3","Thousands",,,1032.897,,
"AUS","Australia","LFEAMNTT","Employment - by economic activity, Manufacturing, All persons","STSA","Level, rate or quantity series, s.a.","A","Annual","2004","2004","PER","Persons","3","Thousands",,,1039.626,,
"AUS","Australia","LFEAMNTT","Employment - by economic activity, Manufacturing, All persons","STSA","Level, rate or quantity series, s.a.","A","Annual","2005","2005","PER","Persons","3","Thousands",,,1021.378,,
"AUS","Australia","LFEAMNTT","Employment - by economic activity, Manufacturing, All persons","STSA","Level, rate or quantity series, s.a.","A","Annual","2006","2006","PER","Persons","3","Thousands",,,1009.451,,
"AUS","Australia","LFEAMNTT","Employment - by economic activity, Manufacturing, All persons","STSA","Level, rate or quantity series, s.a.","A","Annual","2007","2007","PER","Persons","3","Thousands",,,1027.734,,
"AUS","Australia","LFEAMNTT","Employment - by economic activity, Manufacturing, All persons","STSA","Level, rate or quantity series, s.a.","A","Annual","2008","2008","PER","Persons","3","Thousands",,,1044.804,,
"AUS","Australia","LFEAMNTT","Employment - by economic activity, Manufacturing, All persons","STSA","Level, rate or quantity series, s.a.","A","Annual","2009","2009","PER","Persons","3","Thousands",,,998.2275,,
"AUS","Australia","LFEAMNTT","Employment - by economic activity, Manufacturing, All persons","STSA","Level, rate or quantity series, s.a.","A","Annual","2010","2010","PER","Persons","3","Thousands",,,978.6542,,
"AUS","Australia","LFEAMNTT","Employment - by economic activity, Manufacturing, All persons","STSA","Level, rate or quantity series, s.a.","A","Annual","2011","2011","PER","Persons","3","Thousands",,,947.1017,,
"AUS","Australia","LFEAMNTT","Employment - by economic activity, Manufacturing, All persons","STSA","Level, rate or quantity series, s.a.","A","Annual","2012","2012","PER","Persons","3","Thousands",,,947.9832,,
"AUS","Australia","LFEAMNTT","Employment - by economic activity, Manufacturing, All persons","STSA","Level, rate or quantity series, s.a.","A","Annual","2013","2013","PER","Persons","3","Thousands",,,920.5344,,
"AUS","Australia","LFEAMNTT","Employment - by economic activity, Manufacturing, All persons","STSA","Level, rate or quantity series, s.a.","A","Annual","2014","2014","PER","Persons","3","Thousands",,,922.4232,,
"AUS","Australia","LFEAMNTT","Employment - by economic activity, Manufacturing, All persons","STSA","Level, rate or quantity series, s.a.","A","Annual","2015","2015","PER","Persons","3","Thousands",,,890.0262,,
"AUS","Australia","LFEASETT","Employment - by economic activity, Services, All persons","STSA","Level, rate or quantity series, s.a.","A","Annual","1989","1989","PER","Persons","3","Thousands",,,5299.653,,
"AUS","Australia","LFEASETT","Employment - by economic activity, Services, All persons","STSA","Level, rate or quantity series, s.a.","A","Annual","1990","1990","PER","Persons","3","Thousands",,,5484.35,,
"AUS","Australia","LFEASETT","Employment - by economic activity, Services, All persons","STSA","Level, rate or quantity series, s.a.","A","Annual","1991","1991","PER","Persons","3","Thousands",,,5459.014,,
"AUS","Australia","LFEASETT","Employment - by economic activity, Services, All persons","STSA","Level, rate or quantity series, s.a.","A","Annual","1992","1992","PER","Persons","3","Thousands",,,5478.216,,
"AUS","Australia","LFEASETT","Employment - by economic activity, Services, All persons","STSA","Level, rate or quantity series, s.a.","A","Annual","1993","1993","PER","Persons","3","Thousands",,,5487.839,,
"AUS","Australia","LFEASETT","Employment - by economic activity, Services, All persons","STSA","Level, rate or quantity series, s.a.","A","Annual","1994","1994","PER","Persons","3","Thousands",,,5691.775,,
"AUS","Australia","LFEASETT","Employment - by economic activity, Services, All persons","STSA","Level, rate or quantity series, s.a.","A","Annual","1995","1995","PER","Persons","3","Thousands",,,5950.128,,
"AUS","Australia","LFEASETT","Employment - by economic activity, Services, All persons","STSA","Level, rate or quantity series, s.a.","A","Annual","1996","1996","PER","Persons","3","Thousands",,,6065.307,,
"AUS","Australia","LFEASETT","Employment - by economic activity, Services, All persons","STSA","Level, rate or quantity series, s.a.","A","Annual","1997","1997","PER","Persons","3","Thousands",,,6136.604,,
"AUS","Australia","LFEASETT","Employment - by economic activity, Services, All persons","STSA","Level, rate or quantity series, s.a.","A","Annual","1998","1998","PER","Persons","3","Thousands",,,6283.516,,
